# Logfile created on 2026-03-16 15:56:12 +0000 by logger.rb/v1.6.0
2026-03-16 15:56:12 +0000: Memory Usage (427896K) : metal3_pin has 12 polygons
2026-03-16 15:56:12 +0000: Memory Usage (428160K) : metal3_mask has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (428160K) : metal3_filler has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (428160K) : metal3_nofill has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (428160K) : metal3_slit has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (428604K) : metal3_text has 12 polygons
2026-03-16 15:56:12 +0000: Memory Usage (428604K) : metal3_opc has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (428604K) : metal3_noqrc has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (428604K) : metal3_res has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (428604K) : metal3_iprobe has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (428928K) : metal3_diffprb has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (429192K) : nwell_drw has 69 polygons
2026-03-16 15:56:12 +0000: Memory Usage (429192K) : nwell_pin has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (429192K) : nbulay_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (429192K) : nbulay_pin has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (429192K) : nbulay_block has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (429192K) : emwind_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (429192K) : emwind_opc has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (429456K) : deepco_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (429456K) : deepco_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (429456K) : mim_drw has 12 polygons
2026-03-16 15:56:12 +0000: Memory Usage (429456K) : edgeseal_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (429720K) : edgeseal_bound has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (429720K) : substrate_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (429720K) : substrate_text has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (429720K) : dfpad_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (429720K) : dfpad_pillar has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (429984K) : dfpad_sbump has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (429984K) : thickgateox_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (429984K) : pldb_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (429984K) : pwell_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (430248K) : pwell_pin has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (430248K) : pwell_block has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (430248K) : ic_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (430248K) : via3_drw has 155 polygons
2026-03-16 15:56:12 +0000: Memory Usage (430512K) : metal4_drw has 258 polygons
2026-03-16 15:56:12 +0000: Memory Usage (430512K) : metal4_pin has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (430512K) : metal4_mask has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (430512K) : metal4_filler has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (430776K) : metal4_nofill has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (430776K) : metal4_slit has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (430776K) : metal4_text has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (430776K) : metal4_opc has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (431040K) : metal4_noqrc has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (431040K) : metal4_res has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (431040K) : metal4_iprobe has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (431040K) : metal4_diffprb has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (431304K) : heattrans_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (431304K) : heatres_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (431304K) : pempoly_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (431304K) : fbe_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (431568K) : empoly_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (431568K) : ldmos_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (431568K) : pbiwind_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (431568K) : digisub_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (431832K) : nodrc_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (431832K) : text_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (431832K) : via4_drw has 44 polygons
2026-03-16 15:56:12 +0000: Memory Usage (431832K) : metal5_drw has 85 polygons
2026-03-16 15:56:12 +0000: Memory Usage (431832K) : metal5_pin has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (432096K) : metal5_mask has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (432096K) : metal5_filler has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (432096K) : metal5_nofill has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (432096K) : metal5_slit has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (432360K) : metal5_text has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (432360K) : metal5_opc has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (432360K) : metal5_noqrc has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (432360K) : metal5_res has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (432624K) : metal5_iprobe has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (432624K) : metal5_diffprb has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (432624K) : radhard_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (432624K) : memcap_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (432888K) : varicap_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (432888K) : flash_drw has 0 polygons
2026-03-16 15:56:12 +0000: Memory Usage (433052K) : intbondvia_drw has 0 polygons
